 12652	  2204	 10872	41.09	   885	   207	   387	  9332	 -3512	  8220	25.28	  2212	  -772	  -327	  9812	-12508	  7564	26.55	 -2822	 -1451	 10285	
 12548	   500	 12836	41.19	  1459	   156	  1039	 12444	   832	  9540	25.28	 -1797	  -220	  -768	 12340	 14420	 12680	26.51	  6646	 -2350	 -5030	
 13728	   336	 10796	41.05	 -1129	   743	  -444	 12480	  1456	 10556	25.28	  -598	  -199	  -212	  9712	  2612	 22244	26.60	  2404	 -2833	 11100	
 13176	   996	 11904	41.19	 -1210	  -196	  -723	 13308	  1820	 10760	25.33	  -825	  -567	  -451	 17140	 -7520	  6860	26.46	 11152	 -8842	  1838	
 12604	  1692	 10932	41.19	  -795	  -131	  -483	 13064	  1400	  9604	25.33	  -295	   -92	  -103	 17628	 -5564	 -4228	26.46	 -1273	 -4962	 -1650	
 12780	  1288	 11164	41.24	  -375	   112	   -88	 13232	  1128	 10148	25.24	  -340	  -113	  -153	 14592	-18988	-16576	26.46	-24712	 17532	-12322	
 12580	  1676	 11576	40.91	   103	  -196	    10	 12204	  2260	 15328	25.28	  2949	 -3397	   819	  3788	  5628	 -9232	26.32	 -3792	 13603	   900	
 14752	  3132	 11612	41.09	  1560	 -1224	   426	 12148	  -264	 12216	25.38	  -614	  -170	  -229	 12512	 -4020	 14020	26.32	  1682	 -4727	-14288	
 12556	   292	 11324	40.95	  -308	    98	   -67	 13556	  1456	 10068	25.28	  -924	  -394	  -530	  8196	  4408	 10484	26.22	  -398	  3440	  9811	
 12920	  1148	 10968	41.05	 -1811	  -612	  -892	 13380	   964	  9772	25.24	 -1265	  -760	  -717	  -760	 -2632	  9804	26.37	   262	 17415	 17059	
 12812	  1436	 11932	41.05	 -1164	 -1261	 -1462	 13376	  1964	 10896	25.33	  -903	 -1434	 -1200	  1568	-15476	 17508	26.18	 -3921	 18490	 19888	
 12584	  1836	 10668	41.09	 -1465	 -2678	 -1626	 14040	  2268	  8984	25.28	 -1125	 -2516	 -1497	 -1492	-17972	 19308	26.13	 -5850	 10441	 12233	
 13052	  1680	  9696	40.95	 -1763	 -1902	 -1978	 14004	  3868	  7808	25.38	 -1690	 -1583	 -1623	 -4980	 -6392	 17660	26.13	  3933	  8965	  4743	
 13776	  3612	  9260	40.77	 -1705	  -848	  -965	 12940	  3820	  7280	25.19	 -1140	  -226	  -343	-10204	 -4904	 13940	26.22	  3566	  6624	  1295	
 15184	  1696	  9804	41.24	   250	  1165	  1128	 13460	  2236	  8180	25.33	   -14	   700	   528	-10244	 -2804	 11512	26.04	 -2313	  1003	  1724	
 13784	  1016	  9592	41.24	   672	  1070	  1034	 14776	  1264	  8828	25.24	  1113	   556	  1102	-11344	 -3144	 11764	26.13	   461	   330	   138	
 13668	   312	  9676	40.86	   549	   308	   804	 14488	   844	  8656	25.33	   263	    94	   520	-11468	 -3844	 11032	26.18	  -446	   185	   443	
 13692	  1056	  9712	41.05	  -198	    -5	   374	 14108	  1152	  8800	25.33	   -16	    14	   556	-11544	 -4116	 10624	26.13	 -1155	   542	   456	
 13660	  1292	  9560	41.24	  -277	   255	   413	 14080	  1108	  8700	25.19	    19	   258	   558	-11876	 -3764	  9348	26.13	  -803	  2520	  1347	
 13776	   860	  9696	40.95	  -332	   300	   295	 14084	  1392	  8680	25.38	   -28	   317	   401	-13420	 -3768	  8304	26.13	 -1332	  5846	  3315	
 13620	  1152	  9892	41.24	  -162	   415	   261	 13972	  1240	  9256	25.38	    85	   273	   312	-14392	 -4944	  8908	26.13	 -6130	  4008	  6042	
 13308	  1272	 10108	40.91	  -156	   190	   185	 14100	  1532	  9492	25.24	   174	   140	   449	-12632	 -3924	  6024	26.27	 -2108	  1278	   176	
 13328	   984	 10144	41.24	    56	   -21	   197	 13940	  1300	  9204	25.28	   145	  -140	   275	-13756	 -4032	  7276	26.08	 -1011	 -1116	  -750	
 13576	   952	 10100	40.91	  -181	   -57	   -42	 13980	  1168	  9184	25.33	    56	   -12	   139	-13964	 -4008	  6840	26.18	  -775	 -1896	 -1108	
 13536	   976	  9936	40.86	  -491	  -106	  -225	 14092	  1408	  9120	25.24	  -258	   -52	   -83	-13960	 -4172	  7264	26.18	  -255	 -1673	  -469	
 13284	  1252	  9748	41.09	  -520	   -31	  -194	 13924	  1456	  8836	25.28	  -146	   176	    84	-13760	 -3864	  7848	26.13	 -1360	 -1907	   769	
 13444	  1332	 10136	40.95	  -283	   156	    50	 14008	  1308	  8972	25.33	    70	   103	   266	-13016	 -2484	 11156	26.22	 -3630	 -5266	  2156	
